sample_name	seqnames	start	end	width	strand	score	annotation_detailed	annotation_simple	tss_distance	gene_seqnames	gene_start	gene_end	gene_width	gene_strand	gene_id	transcript_id	species	sample_source	gene_marking_percent
Mouse BM (25.00%)	18	83587812	83587812	1	-	17	Distal Intergenic	Distal Intergenic	33370	18	83618513	83621182	2670	2	ENSMUSG00000117658	ENSMUST00000237771	Mmusculus	bm	25
Mouse BM (25.00%)	17	66453605	66453605	1	-	16	Intron (ENSMUST00000163605/ENSMUSG00000035842, intron 18 of 26)	Intron	2901	17	66450704	66455912	5209	1	ENSMUSG00000035842	ENSMUST00000226095	Mmusculus	bm	25
Mouse BM (25.00%)	2	38778725	38778725	1	+	15	Intron (ENSMUST00000112877/ENSMUSG00000063972, intron 2 of 11)	Intron	26550	2	38752175	38755545	3371	1	ENSMUSG00000107468	ENSMUST00000204297	Mmusculus	bm	25
Mouse BM (25.00%)	3	75563882	75563882	1	+	15	Promoter (<=1kb)	Promoter	-781	3	75554753	75563101	8349	2	ENSMUSG00000099370	ENSMUST00000240703	Mmusculus	bm	25
Mouse BM (25.00%)	7	74303170	74303170	1	-	15	Distal Intergenic	Distal Intergenic	-46434	7	74349604	74349834	231	1	ENSMUSG00000108570	ENSMUST00000206241	Mmusculus	bm	25
Mouse BM (25.00%)	5	51479598	51479598	1	+	14	Distal Intergenic	Distal Intergenic	-98582	5	51380930	51381016	87	2	ENSMUSG00002076511	ENSMUST00020181890	Mmusculus	bm	25
Mouse BM (25.00%)	5	58009927	58009927	1	+	14	Intron (ENSMUST00000191837/ENSMUSG00000029108, intron 1 of 2)	Intron	-47149	5	58057076	58057649	574	1	ENSMUSG00000104564	ENSMUST00000198743	Mmusculus	bm	25
Mouse BM (25.00%)	19	24738897	24738897	1	+	14	Intron (ENSMUST00000047666/ENSMUSG00000041731, intron 6 of 10)	Intron	1545	19	24661915	24740442	78528	2	ENSMUSG00000041731	ENSMUST00000133692	Mmusculus	bm	25
Mouse BM (25.00%)	7	73690292	73690292	1	+	13	Intron (ENSMUST00000205302/ENSMUSG00000108725, intron 1 of 1)	Intron	3194	7	73684380	73693486	9107	2	ENSMUSG00000108725	ENSMUST00000205302	Mmusculus	bm	25
Mouse BM (25.00%)	11	53327330	53327330	1	-	13	Intron (ENSMUST00000156037/ENSMUSG00000018238, intron 2 of 2)	Intron	3204	11	53324126	53328731	4606	1	ENSMUSG00000018238	ENSMUST00000018382	Mmusculus	bm	25
Mouse BM (25.00%)	12	9299519	9299519	1	+	13	Distal Intergenic	Distal Intergenic	-121919	12	9421438	9523770	102333	1	ENSMUSG00000113913	ENSMUST00000223136	Mmusculus	bm	25
Mouse BM (25.00%)	X	129399411	129399411	1	-	12	Distal Intergenic	Distal Intergenic	15127	20	129413863	129414538	676	2	ENSMUSG00000083920	ENSMUST00000117820	Mmusculus	bm	25
Mouse BM (25.00%)	10	12713748	12713748	1	+	11	Intron (ENSMUST00000076817/ENSMUSG00000019820, intron 1 of 73)	Intron	-8084	10	12721832	12722285	454	1	ENSMUSG00000112698	ENSMUST00000219425	Mmusculus	bm	25
Mouse BM (25.00%)	13	108392206	108392206	1	-	11	Intron (ENSMUST00000022207/ENSMUSG00000021696, intron 1 of 7)	Intron	-22117	13	108369623	108370089	467	2	ENSMUSG00000114507	ENSMUST00000225536	Mmusculus	bm	25
Mouse BM (25.00%)	X	168014692	168014692	1	-	11	Intron (ENSMUST00000033721/ENSMUSG00000031355, intron 2 of 12)	Intron	-44496	20	167959110	167970196	11087	2	ENSMUSG00000031354	ENSMUST00000066112	Mmusculus	bm	25
Mouse BM (25.00%)	2	146165252	146165252	1	+	10	Intron (ENSMUST00000109986/ENSMUSG00000037110, intron 37 of 40)	Intron	17785	2	146147467	146148309	843	1	ENSMUSG00000042938	ENSMUST00000122417	Mmusculus	bm	25
Mouse BM (25.00%)	5	26123882	26123882	1	+	10	Distal Intergenic	Distal Intergenic	7331	5	26128496	26131213	2718	2	ENSMUSG00000105052	ENSMUST00000167847	Mmusculus	bm	25
Mouse BM (25.00%)	3	66141392	66141392	1	+	9	Intron (ENSMUST00000029419/ENSMUSG00000027831, intron 4 of 13)	Intron	13726	3	66127666	66128851	1186	1	ENSMUSG00000027832	ENSMUST00000182521	Mmusculus	bm	25
Mouse BM (25.00%)	9	114568144	114568144	1	-	9	Intron (ENSMUST00000217637/ENSMUSG00000032434, intron 2 of 2)	Intron	7903	9	114560241	114578412	18172	1	ENSMUSG00000032434	ENSMUST00000035007	Mmusculus	bm	25
Mouse BM (25.00%)	13	29912750	29912750	1	-	9	Intron (ENSMUST00000140278/ENSMUSG00000006191, intron 5 of 16)	Intron	126664	13	29961279	30039414	78136	2	ENSMUSG00000006191	ENSMUST00000124532	Mmusculus	bm	25
Mouse BM (25.00%)	2	68693144	68693144	1	-	8	Promoter (<=1kb)	Promoter	-482	2	68693626	68695207	1582	1	ENSMUSG00000121250	ENSMUST00000247602	Mmusculus	bm	25
Mouse BM (25.00%)	12	24678439	24678439	1	+	8	Distal Intergenic	Distal Intergenic	10570	12	24688668	24689009	342	2	ENSMUSG00000066553	ENSMUST00000140065	Mmusculus	bm	25
Mouse BM (25.00%)	15	100857142	100857142	1	+	8	Intron (ENSMUST00000201518/ENSMUSG00000023033, intron 5 of 14)	Intron	2177	15	100854965	100899960	44996	1	ENSMUSG00000023033	ENSMUST00000202702	Mmusculus	bm	25
Mouse BM (25.00%)	16	87451720	87451720	1	+	8	Distal Intergenic	Distal Intergenic	-33712	16	87417902	87418008	107	2	ENSMUSG00000064670	ENSMUST00000082736	Mmusculus	bm	25
Mouse BM (25.00%)	5	107686603	107686603	1	+	7	Intron (ENSMUST00000143074/ENSMUSG00000106631, intron 1 of 3)	Intron	3980	5	107682623	107696888	14266	1	ENSMUSG00000089798	ENSMUST00000162591	Mmusculus	bm	25
Mouse BM (25.00%)	7	75369641	75369641	1	-	7	Intron (ENSMUST00000166315/ENSMUSG00000066406, intron 18 of 36)	Intron	12008	7	75357633	75358930	1298	1	ENSMUSG00000108633	ENSMUST00000205317	Mmusculus	bm	25
Mouse BM (25.00%)	7	80743052	80743052	1	-	7	Promoter (1-2kb)	Promoter	-1527	7	80744579	80748566	3988	1	ENSMUSG00000038763	ENSMUST00000151115	Mmusculus	bm	25
Mouse BM (25.00%)	8	12912973	12912973	1	+	7	Intron (ENSMUST00000033818/ENSMUSG00000031441, intron 28 of 29)	Intron	1408	8	12911565	12915570	4006	1	ENSMUSG00000031441	ENSMUST00000139545	Mmusculus	bm	25
Mouse BM (25.00%)	8	14695110	14695110	1	+	7	Intron (ENSMUST00000152652/ENSMUSG00000047495, intron 3 of 14)	Intron	-97643	8	14792753	14810902	18150	1	ENSMUSG00000047495	ENSMUST00000137130	Mmusculus	bm	25
Mouse BM (25.00%)	10	29670270	29670270	1	+	7	Distal Intergenic	Distal Intergenic	12863	10	29657407	29657995	589	1	ENSMUSG00000111427	ENSMUST00000215034	Mmusculus	bm	25
Mouse BM (25.00%)	12	3971364	3971364	1	-	7	Distal Intergenic	Distal Intergenic	10676	12	3981533	3982040	508	2	ENSMUSG00000112271	ENSMUST00000220237	Mmusculus	bm	25
Mouse BM (25.00%)	1	22626030	22626030	1	-	6	Intron (ENSMUST00000081544/ENSMUSG00000041670, intron 5 of 27)	Intron	-74420	1	22522235	22551610	29376	2	ENSMUSG00000041670	ENSMUST00000239255	Mmusculus	bm	25
Mouse BM (25.00%)	1	55568292	55568292	1	+	6	Intron (ENSMUST00000042986/ENSMUSG00000038349, intron 1 of 5)	Intron	-30327	1	55598619	55600214	1596	1	ENSMUSG00000102831	ENSMUST00000193032	Mmusculus	bm	25
Mouse BM (25.00%)	3	25963978	25963978	1	-	6	Intron (ENSMUST00000193603/ENSMUSG00000063887, intron 5 of 7)	Intron	178571	3	25785407	25785860	454	1	ENSMUSG00000104295	ENSMUST00000192273	Mmusculus	bm	25
Mouse BM (25.00%)	6	95525912	95525912	1	-	6	Intron (ENSMUST00000204224/ENSMUSG00000061838, intron 9 of 10)	Intron	95078	6	95543466	95620990	77525	2	ENSMUSG00000061838	ENSMUST00000203071	Mmusculus	bm	25
Mouse BM (25.00%)	8	61065193	61065193	1	+	6	Distal Intergenic	Distal Intergenic	20572	8	61069450	61085765	16316	2	ENSMUSG00000109930	ENSMUST00000210674	Mmusculus	bm	25
Mouse BM (25.00%)	9	47601678	47601678	1	-	6	Intron (ENSMUST00000114548/ENSMUSG00000032076, intron 1 of 9)	Intron	-80761	9	47682439	47684673	2235	1	ENSMUSG00000110959	ENSMUST00000214736	Mmusculus	bm	25
Mouse BM (25.00%)	10	5480382	5480382	1	+	6	Intron (ENSMUST00000215295/ENSMUSG00000096054, intron 2 of 145)	Intron	20296	10	4970917	5500678	529762	2	ENSMUSG00000096054	ENSMUST00000215295	Mmusculus	bm	25
Mouse BM (25.00%)	12	99659065	99659065	1	+	6	Distal Intergenic	Distal Intergenic	49731	12	99609334	99613482	4149	1	ENSMUSG00000113136	ENSMUST00000222616	Mmusculus	bm	25
Mouse BM (25.00%)	13	118530851	118530851	1	+	6	Distal Intergenic	Distal Intergenic	-7063	13	118514917	118523788	8872	2	ENSMUSG00000021731	ENSMUST00000022245	Mmusculus	bm	25
Mouse BM (25.00%)	16	70004858	70004858	1	-	6	Distal Intergenic	Distal Intergenic	18008	16	69986850	69987285	436	1	ENSMUSG00000116794	ENSMUST00000231873	Mmusculus	bm	25
Mouse BM (25.00%)	18	56763218	56763218	1	+	6	Distal Intergenic	Distal Intergenic	-9049	18	56753721	56754169	449	2	ENSMUSG00000118153	ENSMUST00000236670	Mmusculus	bm	25
Mouse BM (25.00%)	3	146483020	146483020	1	+	5	Intron (ENSMUST00000102515/ENSMUSG00000005034, intron 1 of 9)	Intron	4151	3	146435622	146487171	51550	2	ENSMUSG00000005034	ENSMUST00000005164	Mmusculus	bm	25
Mouse BM (25.00%)	6	54221208	54221208	1	+	5	Intron (ENSMUST00000046856/ENSMUSG00000004633, intron 6 of 12)	Intron	-2317	6	54217773	54218891	1119	2	ENSMUSG00000121002	ENSMUST00000246823	Mmusculus	bm	25
Mouse BM (25.00%)	10	20593098	20593098	1	-	5	Intron (ENSMUST00000020165/ENSMUSG00000019990, intron 1 of 12)	Intron	7344	10	20276164	20600442	324279	2	ENSMUSG00000019990	ENSMUST00000170265	Mmusculus	bm	25
Mouse BM (25.00%)	10	70092306	70092306	1	+	5	Intron (ENSMUST00000046807/ENSMUSG00000037762, intron 2 of 5)	Intron	-10503	10	70102809	70119910	17102	1	ENSMUSG00000037762	ENSMUST00000155933	Mmusculus	bm	25
Mouse BM (25.00%)	12	108416955	108416955	1	+	5	Intron (ENSMUST00000138456/ENSMUSG00000058070, intron 1 of 6)	Intron	-9426	12	108406789	108407529	741	2	ENSMUSG00000082203	ENSMUST00000119205	Mmusculus	bm	25
Mouse BM (25.00%)	16	63317996	63317996	1	+	5	Distal Intergenic	Distal Intergenic	-5516	16	63288864	63312480	23617	2	ENSMUSG00000116752	ENSMUST00000231817	Mmusculus	bm	25
Mouse BM (25.00%)	19	3701147	3701147	1	-	5	Intron (ENSMUST00000025856/ENSMUSG00000024913, intron 3 of 22)	Intron	-35355	19	3634836	3665792	30957	2	ENSMUSG00000024913	ENSMUST00000177294	Mmusculus	bm	25
Mouse BM (25.00%)	19	25589251	25589251	1	+	5	Intron (ENSMUST00000048935/ENSMUSG00000042372, intron 1 of 1)	Intron	1350	19	25587901	25601285	13385	1	ENSMUSG00000042372	ENSMUST00000048935	Mmusculus	bm	25
Mouse BM (25.00%)	19	27212107	27212107	1	+	5	Intron (ENSMUST00000164509/ENSMUSG00000024924, intron 3 of 16)	Intron	-4067	19	27216174	27221228	5055	1	ENSMUSG00000024924	ENSMUST00000165761	Mmusculus	bm	25
Mouse BM (25.00%)	X	42127076	42127076	1	-	5	Intron (ENSMUST00000115058/ENSMUSG00000016150, intron 3 of 30)	Intron	129618	20	41616743	42256694	639952	2	ENSMUSG00000016150	ENSMUST00000115058	Mmusculus	bm	25
Mouse BM (25.00%)	1	186688608	186688608	1	+	4	Distal Intergenic	Distal Intergenic	-4097	1	186692705	186693710	1006	1	ENSMUSG00000097935	ENSMUST00000180973	Mmusculus	bm	25
Mouse BM (25.00%)	2	4784256	4784256	1	+	4	Intron (ENSMUST00000184139/ENSMUSG00000048186, intron 6 of 8)	Intron	26728	2	4757528	4806953	49426	1	ENSMUSG00000048186	ENSMUST00000138322	Mmusculus	bm	25
Mouse BM (25.00%)	3	32594289	32594289	1	-	4	Intron (ENSMUST00000091257/ENSMUSG00000027668, intron 4 of 17)	Intron	-6355	3	32600644	32617283	16640	1	ENSMUSG00000027668	ENSMUST00000140328	Mmusculus	bm	25
Mouse BM (25.00%)	5	14859561	14859561	1	-	4	Intron (ENSMUST00000030691/ENSMUSG00000061601, intron 20 of 24)	Intron	4646	5	14854915	14856573	1659	1	ENSMUSG00000104672	ENSMUST00000198672	Mmusculus	bm	25
Mouse BM (25.00%)	10	19546701	19546701	1	-	4	Distal Intergenic	Distal Intergenic	26203	10	19520498	19536549	16052	1	ENSMUSG00000042940	ENSMUST00000216922	Mmusculus	bm	25
Mouse BM (25.00%)	14	118200931	118200931	1	-	4	Intron (ENSMUST00000088483/ENSMUSG00000058571, intron 8 of 9)	Intron	-9672	14	118191155	118191259	105	2	ENSMUSG00000098648	ENSMUST00000183564	Mmusculus	bm	25
Mouse BM (25.00%)	14	118980144	118980144	1	-	4	Distal Intergenic	Distal Intergenic	-7587	14	118965206	118972557	7352	2	ENSMUSG00000098630	ENSMUST00000184172	Mmusculus	bm	25
Mouse BM (25.00%)	16	10709532	10709532	1	+	4	Intron (ENSMUST00000181721/ENSMUSG00000037991, intron 5 of 5)	Intron	23129	16	10729876	10732661	2786	2	ENSMUSG00000095369	ENSMUST00000178424	Mmusculus	bm	25
Mouse BM (25.00%)	17	5554228	5554228	1	-	4	Intron (ENSMUST00000089185/ENSMUSG00000034265, intron 1 of 8)	Intron	-11388	17	5540797	5542840	2044	2	ENSMUSG00000120361	ENSMUST00000242789	Mmusculus	bm	25
Mouse BM (25.00%)	18	5707486	5707486	1	+	4	Intron (ENSMUST00000025081/ENSMUSG00000024238, intron 2 of 7)	Intron	-23595	18	5731081	5772804	41724	1	ENSMUSG00000024238	ENSMUST00000177030	Mmusculus	bm	25
Mouse BM (25.00%)	18	8239305	8239305	1	-	4	Distal Intergenic	Distal Intergenic	-11299	18	8227514	8228006	493	2	ENSMUSG00000117385	ENSMUST00000234783	Mmusculus	bm	25
Mouse BM (25.00%)	2	6357737	6357737	1	+	3	Promoter (<=1kb)	Promoter	193	2	6357544	6448305	90762	1	ENSMUSG00000039046	ENSMUST00000042503	Mmusculus	bm	25
Mouse BM (25.00%)	2	49104067	49104067	1	+	3	Intron (ENSMUST00000112745/ENSMUSG00000036792, intron 6 of 10)	Intron	29037	2	49075030	49075458	429	1	ENSMUSG00000080937	ENSMUST00000118659	Mmusculus	bm	25
Mouse BM (25.00%)	5	76825976	76825976	1	+	3	Intron (ENSMUST00000128112/ENSMUSG00000036377, intron 1 of 3)	Intron	-19774	5	76803776	76806202	2427	2	ENSMUSG00000103529	ENSMUST00000194526	Mmusculus	bm	25
Mouse BM (25.00%)	6	48542011	48542011	1	-	3	Exon (ENSMUST00000239256/ENSMUSG00000118619, exon 1 of 1)	Exon	712	6	48541299	48543071	1773	1	ENSMUSG00000118619	ENSMUST00000239256	Mmusculus	bm	25
Mouse BM (25.00%)	8	127386170	127386170	1	-	3	Distal Intergenic	Distal Intergenic	64740	8	127321430	127322648	1219	1	ENSMUSG00000120101	ENSMUST00000241377	Mmusculus	bm	25
Mouse BM (25.00%)	9	41494065	41494065	1	+	3	Intron (ENSMUST00000212373/ENSMUSG00000074415, intron 4 of 4)	Intron	843	9	41493222	41493298	77	1	ENSMUSG00000093354	ENSMUST00000175613	Mmusculus	bm	25
Mouse BM (25.00%)	9	110264608	110264608	1	-	3	Intron (ENSMUST00000068025/ENSMUSG00000054792, intron 7 of 9)	Intron	-2995	9	110259751	110261613	1863	2	ENSMUSG00000054792	ENSMUST00000199700	Mmusculus	bm	25
Mouse BM (25.00%)	9	122425663	122425663	1	+	3	Intron (ENSMUST00000181682/ENSMUSG00000097736, intron 2 of 3)	Intron	24096	9	122401567	122508661	107095	1	ENSMUSG00000097736	ENSMUST00000181719	Mmusculus	bm	25
Mouse BM (25.00%)	10	94966205	94966205	1	-	3	Intron (ENSMUST00000220248/ENSMUSG00000112481, intron 2 of 3)	Intron	6531	10	94970152	94972736	2585	2	ENSMUSG00000112501	ENSMUST00000217798	Mmusculus	bm	25
Mouse BM (25.00%)	12	32453671	32453671	1	-	3	Intron (ENSMUST00000218751/ENSMUSG00000112865, intron 4 of 6)	Intron	24968	12	32428703	32432942	4240	1	ENSMUSG00000090946	ENSMUST00000172332	Mmusculus	bm	25
Mouse BM (25.00%)	14	30641754	30641754	1	-	3	Intron (ENSMUST00000006697/ENSMUSG00000006522, intron 6 of 21)	Intron	3752	14	30630640	30645506	14867	2	ENSMUSG00000006522	ENSMUST00000227995	Mmusculus	bm	25
Mouse BM (25.00%)	15	11440690	11440690	1	+	3	Distal Intergenic	Distal Intergenic	-40939	15	11382387	11399751	17365	2	ENSMUSG00000022241	ENSMUST00000022849	Mmusculus	bm	25
Mouse BM (25.00%)	15	50518273	50518273	1	-	3	3' UTR	3' UTR	172644	15	50682895	50690917	8023	2	ENSMUSG00000038679	ENSMUST00000183421	Mmusculus	bm	25
Mouse BM (25.00%)	15	69396324	69396324	1	+	3	Distal Intergenic	Distal Intergenic	-73329	15	69322864	69322995	132	2	ENSMUSG00000077502	ENSMUST00000104314	Mmusculus	bm	25
Mouse BM (25.00%)	16	20918660	20918660	1	-	3	Distal Intergenic	Distal Intergenic	20240	16	20898420	20899416	997	1	ENSMUSG00000086936	ENSMUST00000147052	Mmusculus	bm	25
Mouse BM (25.00%)	18	88919247	88919247	1	-	3	Intron (ENSMUST00000147313/ENSMUSG00000056153, intron 1 of 2)	Intron	-6771	18	88886619	88912476	25858	2	ENSMUSG00000056153	ENSMUST00000125362	Mmusculus	bm	25
Mouse BM (25.00%)	2	58031800	58031800	1	-	2	Intron (ENSMUST00000028175/ENSMUSG00000026832, intron 6 of 7)	Intron	15009	2	58024078	58046809	22732	2	ENSMUSG00000026832	ENSMUST00000131443	Mmusculus	bm	25
Mouse BM (25.00%)	2	74882581	74882581	1	+	2	Distal Intergenic	Distal Intergenic	85561	2	74955215	74968142	12928	2	ENSMUSG00000087333	ENSMUST00000143898	Mmusculus	bm	25
Mouse BM (25.00%)	3	151030972	151030972	1	-	2	Distal Intergenic	Distal Intergenic	-8014	3	151038986	151043275	4290	1	ENSMUSG00000105401	ENSMUST00000197054	Mmusculus	bm	25
Mouse BM (25.00%)	4	10364490	10364490	1	+	2	Distal Intergenic	Distal Intergenic	75253	4	10438815	10439743	929	2	ENSMUSG00000084215	ENSMUST00000119515	Mmusculus	bm	25
Mouse BM (25.00%)	9	111935081	111935081	1	-	2	Intron (ENSMUST00000070218/ENSMUSG00000032503, intron 17 of 18)	Intron	12698	9	111947704	111947779	76	2	ENSMUSG00000065441	ENSMUST00000083507	Mmusculus	bm	25
Mouse BM (25.00%)	11	18844258	18844258	1	+	2	Intron (ENSMUST00000144988/ENSMUSG00000020160, intron 9 of 9)	Intron	-4418	11	18838261	18839840	1580	2	ENSMUSG00000104244	ENSMUST00000195805	Mmusculus	bm	25
Mouse BM (25.00%)	12	53001204	53001204	1	-	2	Intron (ENSMUST00000095737/ENSMUSG00000061603, intron 7 of 13)	Intron	92405	12	53093491	53093609	119	2	ENSMUSG00000119139	ENSMUST00000083299	Mmusculus	bm	25
Mouse BM (25.00%)	13	108413193	108413193	1	+	2	Intron (ENSMUST00000022207/ENSMUSG00000021696, intron 6 of 7)	Intron	34091	13	108445736	108447284	1549	2	ENSMUSG00000114607	ENSMUST00000225465	Mmusculus	bm	25
Mouse BM (25.00%)	18	4009569	4009569	1	-	2	Promoter (<=1kb)	Promoter	-687	18	4010256	4011157	902	1	ENSMUSG00000117395	ENSMUST00000234528	Mmusculus	bm	25
Mouse BM (25.00%)	18	42011135	42011135	1	+	2	Intron (ENSMUST00000235606/ENSMUSG00000056671, intron 6 of 6)	Intron	-3236	18	41880299	42007899	127601	2	ENSMUSG00000117745	ENSMUST00000235677	Mmusculus	bm	25
Mouse BM (25.00%)	18	73666577	73666577	1	-	2	Promoter (<=1kb)	Promoter	44	18	73666474	73666621	148	2	ENSMUSG00002075795	ENSMUST00020182528	Mmusculus	bm	25
Mouse BM (37.00%)	15	58321955	58321955	1	-	153	Intron (ENSMUST00000037270/ENSMUSG00000037119, intron 21 of 23)	Intron	7373	15	58314582	58321827	7246	1	ENSMUSG00000037119	ENSMUST00000228576	Mmusculus	bm	37
